fa,WP,interrogative word,vraagwoord,вопросительное слово,"how, but also what and why in certain contexts","hoe, maar soms ook wat of waarom, op welke wijze",Fa i no go na skoro tide?,Why didn’t you go to school today? (from: How did it happen that...),Waarom ben je vandaag niet naar school gegaan? (van: Hoe komt het dat je...)
fu sanede,WP,interrogative word,vraagwoord,вопросительное слово,why,waarom,,,
o langa,WP,interrogative word,vraagwoord,вопросительное слово,how long,hoelang,O langa yu o tan disi leisi?,How long will you stay this time?,Hoelang blijft u dit keer?
o lati,WP,interrogative word,vraagwoord,вопросительное слово,what time,hoe laat,O lati yu e kon?,What time are you coming?,Hoe laat kom je?
san meki,WP,interrogative word,vraagwoord,вопросительное слово,why,waarom,San meki den sma fu yu kon so lati?,Why did your people come so late?,Waarom zijn jouw mensen zo laat gekomen?
fu sanede meki,WP,interrogative word,vraagwoord,вопросительное слово,why,waarom,Fu sanede meki yu kon so lati?,Why did you come so late? (You certainly knew better!),Waarom ben je ook zo laat gekomen? (Je wist wel beter!)
o,WP,interrogative word,vraagwoord,вопросительное слово,"it is used in conjunction with adjectives to introduce questions, e.g.o fara 'how far', o bradi 'how wide', o langa 'how long', o hei 'how high', o lati 'how late, what time', etc.","wordt in combinatie gebruikt met bijvoeglijke naamwoorden om een vraag in te leiden, b.v. o fara 'hoe ver', o bradi 'hoe breed', o langa 'hoe lang', o hei 'hoe hoog",O bradi Srananliba de?,How wide is the Suriname River?,Hoe breed is de Surinamerivier?
ofa,WP,interrogative word,vraagwoord,вопросительное слово,"how, but also what and why in certain contexts","hoe, maar soms ook wat of waarom, op welke wijze",,,
olanga,WP,interrogative word,vraagwoord,вопросительное слово,how long,hoelang,Olanga yu o tan gwe?,How long will you be away?,Hoelang blijft u weg?
olati,WP,interrogative word,vraagwoord,вопросительное слово,what time,hoe laat,Olati un de?,What time is it?,hoe laat is it?
omeni langa,WP,interrogative word,vraagwoord,вопросительное слово,how long,hoe lang,"Yu sabi omeni langa mi e sidon wakti dya, ma zuster no e kari mi.","You know how long I’ve been sitting here waiting, but still the nurse does not call my name.","Weet je hoe lang ik hier zit te wachten, maar de zuster roept me niet."
omeni langa kba,WP,interrogative word,vraagwoord,вопросительное слово,for a long time,allang,"A: Den birti fu yu e prei poku tranga. B: Brada,omeni langa kba.","A: Your neighbors play music loud. B: Brother, they’ve done itfor a long time.","A: Je buren hebben hun muziek luid aan. B: Man, dit is allang zo."
ope,WP,interrogative word,vraagwoord,вопросительное слово,where,"waar, op welke plaats",,,
oten,WP,interrogative word,vraagwoord,вопросительное слово,when,wanneer,Oten wi o drai go baka?,When will we return?,Wanneer keren we terug?
pe,WP,interrogative word,vraagwoord,вопросительное слово,where,waar,Pe yu e go?,Where are you going?,Waar ga je naartoe?
san,WP,interrogative word,vraagwoord,вопросительное слово,what,wat,San yu e kon du dyaso?,What have you come here for (lit: What have you come to do here?),Wat ben je hier komen doen?
sanede,WP,interrogative word,vraagwoord,вопросительное слово,why,waarom,Sanede yu naki a dagu?,Why did you hit the dog?,Waarom sloeg je de hond?
sortu,WP,interrogative word,vraagwoord,вопросительное слово,"which, what kind","welk(e), wat voor soort",Sortu gruntu mi mu bai tide?,What kind of vegetables should I buy today?,Welke groenten moet ik vandaag kopen?
suma,WP,interrogative word,vraagwoord,вопросительное слово,who,wie,Suma e kon dape de?,Who is coming there?,Wie komt er daar aan?
