afu,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,half,"half, de helft",,,
ala,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,all,"al, alles, allemaal",Den pikin nyan ala a froktu ini a baki.,The children ate all the fruit on the tray.,De kinderen hebben al de vruchten uit de bak opgegeten.
iniwan,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,any one,welk(e),Yu kan teki iniwan fu den.,You can take any one of them.,Je mag nemen welke je wilt.
no wan,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,"none at all, not one","geen enkel, niet één",A no abi no wan pikin.,She has not one single child.,Ze heeft geen enkel kind.
noti,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,nothing,niets,A: San psa nanga yu? B: Noti no psa nanga mi.,A: What happened to you? B: Nothing has happened to me.,A: Wat is er met jou aan de hand? B: Niets is met mij aan de hand.
not'noti,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,nothing at all,helemaal niets,,,
someni,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,"so many, so much",zoveel,"A abi someni moni, tak' a no sabi san a mus du nanga en.",She has so much money that she doesn’t know what to do with it.,Zij heeft zoveel geld dat ze niet weet wat ze ermee moet doen.
son,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,some,sommige,Yu no e ferstan son sani te bigisma taki.,You don’t understand some things when old people speak.,"Wanneer de ouderen spreken, begrijp je sommige dingen niet."
sowan,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,of the same kind,"zo een, soortgelijke",Mi wani bai sowan oloisi.,I want to buy such a watch.,Ik wil zo'n horloge kopen.
suma,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,"who, someone","wie, iemand",Luku suma e kon!,Look who is coming!,Kijk wie komt!
trawan,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,"the other, the next one","andere, de volgende","Yu krin a wan susu, san meki yu no krin a trawan?","You cleaned the one shoe, why didn’t you clean the other?","Je hebt de ene schoen schoongemaakt, waarom de andere niet?"
wantu,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,"indefinite quantifier, some, a few",onbepaalde hoeveelheidsaanduiding,"Di mi go na wowoyo mi bai gruntu, kasaba nanga wantu tra sani.","When I went to the market I bought greens, cassava and some other things.","Toen ik naar de markt ging, kocht ik groenten, kassave en een paar andere dingen."
ala tu,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,both,"beide, alle twee (SN)",A: Fa fu Hertoch nanga Ronald? B: Ala den tu sma dati gwe.,A: How are Hertoch and Ronald? B: Both of those people have left.,A: Hoe gaat het met Hertoch en Ronald? B: Beide mensen zijn vertrokken.
bun furu,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,"very much, in abundance","heel veel, erg veel",,,
ipi,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,"many, a lot",veel,Mi abi ipi krosi fu wasi.,I His mind is not good (i.e. he is crazy).ve got a lot of clothes to wash.,Ik heb veel kleren om te wassen.
wanwan,PRN_ind,indefinite pronoun,onbepaald voornaamwoord,неопределенное местоимение,very few,"enkele, enige","Sowan feestedei, dan wanwan sma nomo de na strati!","Such a holiday, and only a very few people are on the street!","Zo'n feestdag, en je ziet maar enkele mensen op straat!"
notnoti,PRN_ind,indefinite pronoun,onbepaalde voornaamwoord,неопределенное местоимение,nothing at all,niets,,,
