didon,VB_mov,verb,werkwoord,глагол,lie down,liggen,A meisje e didon tapu a bedi e leisi.,The girl is lying down on the bed reading.,Het meisje ligt op bed te lezen.
sidon,VB_mov,verb,werkwoord,глагол,sit,zitten,Den pikin e sidon tapu a bangi.,The children are sitting on the bench.,De kinderen zitten op de bank.
tnapu,VB_mov,verb,werkwoord,глагол,stand,staan,Teki wan sturu gi mi. Mi no man tnapu moro.,Get a chair for me. I can’t stand any longer.,Haal een stoel voor me. Ik kan niet langer staan.
doro,VB_mov,verb,werkwoord,глагол,arrive,"aankomen, arriveren","Fa mi doro na oso, a alen bigin kon.","Just as I arrived home, it began to rain.",Direkt nadat ik thuis aankwam begon het te regenen.
lon,VB_mov,verb,werkwoord,глагол,run,rennen,Den fufuruman lon di den si a skowtu.,The thieves ran when they saw the police.,De dieven renden toen ze de politie zagen.
pusu,VB_mov,verb,werkwoord,глагол,push,"stoten, duwen","Di a bromfiets lon drei, mi ben abi fu pusu en go na oso.","When the motorbike ran out of gas, I had to push it home.","Nadat de bromfiets leeg gelopen was, moest ik hem naar huis duwen."
syobu,VB_mov,verb,werkwoord,глагол,"shove, push, jab","duwen, porren, stoten","Te yu de na ondro wowoyo, den sma e syobu yu fu ala sei.","When you are at the market, people push you from all sides.","Als je onder de markt bent, duwt men je van alle kanten."
trusu,VB_mov,verb,werkwoord,глагол,"push, drive","stoten, duwen",San trusu mi fu teki a wroko disi?,What drove me to take this job?,Wat heeft mij er toe gedreven om dit werk aan te nemen?
tya,VB_mov,verb,werkwoord,глагол,return (something),(iets) terugbrengen,,,
tyari,VB_mov,verb,werkwoord,глагол,carry,dragen,Mi wawan no man tyari den hebi dosu disi.,I can’t carry these heavy boxes by myself.,Ik kan deze zware dozen niet alleen dragen.
waka,VB_mov,verb,werkwoord,глагол,"walk, travel","lopen, wandelen, reizen",A man disi waka na furu kondre.,This man has traveled to many countries.,Deze man heeft vele landen afgereisd.
fadon,VB_mov,verb,werkwoord,глагол,"fall, fall down",vallen,"A boi fadon kmopo fu a bon, dan a broko en anu.",The boy fell out of the tree and broke his arm.,De jongen viel uit de boom en brak zijn arm.
go,VB_mov,verb,werkwoord,глагол,go,gaan,Den pikin e go na skoro.,The children go to school.,De kinderen gaan naar school.
gwe,VB_mov,verb,werkwoord,глагол,"leave, go away, go","weggaan, vertrekken",Di mamanten mi gwe go te na foto e suku dresi.,This morning I went all the way to town looking for medicine (lit: I went away all the way...).,Vanmorgen ben ik helemaal naar de stad geweest om medicijn te zoeken (lett: ben ik weggegaan naar de stad...)
krei,VB_mov,verb,werkwoord,глагол,"crying, weeping",gehuil,Mi no man nanga a krei fu a pikin disi.,I can’t stand this child’s crying.,Ik kan niet met het gehuil van dit kind.
komopo,VB_mov,verb,werkwoord,глагол,leave,vertrekken,O lati mi mu kmopo fu oso?,What time do I need to leave home?,Hoe laat moet ik van huis vertrekken?
komoto,VB_mov,verb,werkwoord,глагол,,,,,
kon,VB_mov,verb,werkwoord,глагол,"come, arrive","komen, aankomen",A plane o kon tide neti neigi yuru ten so.,The plane will arrive tonight at about nine o’clock.,Het vliegtuig komt vanavond omstreeks negen uur aan.
hari,VB_mov,verb,werkwoord,глагол,"pull, tug, jerk","trekken, rukken",Den man hari a oto kmopo fu a gotro.,The men pulled the car out of the ditch.,De mannen trokken de auto uit de goot.
opo,VB_mov,verb,werkwoord,глагол,"lift, pick up",optillen,Opo a saka aleisi èn poti en tapu tafra.,Pick up the sack of rice and put it on the table.,Til de zak rijst op en zet hem op de tafel.
puru,VB_mov,verb,werkwoord,глагол,"remove, take away",weghalen,Puru a patu tapu a kasi gi mi.,Take the pot from the top of the cupboard for me.,Haal de pot van boven op de kast voor me.
teki,VB_mov,verb,werkwoord,глагол,take,"nemen, wegnemen",Suma teki den sani dya?,Who took the things from here?,Wie heeft die dingen van hier weggenomen?
trowe,VB_mov,verb,werkwoord,глагол,throw away,"weggooien, wegsmijten","Di a kiri a alata, a trowe en na strati.","When he killed the rat, he threw it onto the street.","Toen hij de rat gedood had, gooide hij hem op straat weg."
kmopo,VB_mov,verb,werkwoord,глагол,leave,vertrekken,O lati mi mu kmopo fu oso?,What time do I need to leave home?,Hoe laat moet ik van huis vertrekken?
kmoto,VB_mov,verb,werkwoord,глагол,,,,,
