abra,VB_tran,verb,werkwoord,глагол,"cross, cross over",oversteken,Fosi yu ben e pai den botoman wan kwartyi fu abra a liba.,You used to pay the boatmen a quarter to cross the river.,Vroeger moest je de bootslieden een kwartje betalen om de rivier over te kunnen steken.
anga,VB_tran,verb,werkwoord,глагол,hang,hangen,Luku a boi san e anga ini a bon dape.,Look at the boy hanging from the tree there.,Kijk naar de jongen die daar in die boom hangt.
baka,VB_tran,verb,werkwoord,глагол,bake (in an oven),"bakken (in een oven), braden",Pom nanga boyo yu e baka tu nanga afu yuru fosi a gari.,You bake pom and boyo for two and a half hours before they are done.,Pom en boyo moet je twee en een half uur bakken voor ze gaar zijn.
furu,VB_tran,verb,werkwoord,глагол,fill,"vullen, volgieten",Go na liba go furu ala den dyogo nanga watra.,Go to the river and fill all the bottles with water.,Ga naar de rivier om al de flessen met water te vullen.
gi,VB_tran,verb,werkwoord,глагол,give,geven,Gi mi wan golu.,Give me a guilder.,Geef me een gulden.
ipi,VB_tran,verb,werkwoord,глагол,set in a pile,"ophopen, opstapelen",Ipi a doti moro.,Pile up the trash.,Stapel het vuil beter op een hoop.
leki,VB_tran,verb,werkwoord,глагол,leak,lekken,A patu disi e leki.,This pot leaks.,Deze pot lekt.
meki,VB_tran,verb,werkwoord,глагол,"to make something, to cause something to happen",iets maken,Mi aksi a temreman fu meki wan bangi gi mi.,I asked the carpenter to make me a bench.,Ik vroeg de timmerman om een bank voor mij te maken.
ondro,VB_tran,verb,werkwoord,глагол,submit,onderdoen,Fu sanede meki yu ondro yusrefi gi a man?,Why do you submit yourself to the man?,Waarom doe jij je onderdanig voor?
pina,VB_tran,verb,werkwoord,глагол,"suffering, pain","leed, plaag",,,
psa,VB_tran,verb,werkwoord,глагол,happen,"gebeuren, vóórkomen",Yu yere san psa ini a kondre?,Have you heard what happened in the country?,Heb je gehoord wat er in het land is gebeurd?
sa,VB_tran,verb,werkwoord,глагол,to saw (wood or metal),zagen (hout of metaal),,,
taki,VB_tran,verb,werkwoord,глагол,"talk, say, speak","zeggen, praten, spreken",Den taki dat den o kon tu yuru.,They said that they would come at two o’clock.,Ze hebben gezegd dat ze om twee uur zullen komen.
tan,VB_tran,verb,werkwoord,глагол,"stay, remain",blijven,Pe yu tan so langa?,Where have you been (stayed) so long?,Waar ben je zo lang gebleven?
tapu,VB_tran,verb,werkwoord,глагол,"close, lock, shut","dichtmaken, sluiten",Ala den bangi e tapu tu yuru.,All the banks close at two o’clock.,Alle banken sluiten om twee uur.
wai,VB_tran,verb,werkwoord,глагол,blow,"waaien, wegwaaien, blazen",A alen wai.,It has stopped raining (lit: the rain has blown away).,De regen is over (lett: is weggewaaid).
wani,VB_tran,verb,werkwoord,глагол,want,willen,San yu wani?,What do you want?,Wat wil je?
wiki,VB_tran,verb,werkwoord,глагол,"awaken, wake up",wakker worden,Tamara yu mu wiki fruku fu go na skoro.,Tomorrow you need to wake up early to go to school.,Morgenochtend moet je vroeg wakker worden om naar school te gaan.
yere,VB_tran,verb,werkwoord,глагол,"hear, listen","horen, luisteren, vernemen",Mi ben yere a dagu e bari.,I heard the dog barking.,Ik hoorde de hond blaffen.
yuru,VB_tran,verb,werkwoord,глагол,rent out,verhuren,"Te mi o froisi go tan na Nickerie, mi o yuru mi oso na foto.","When I move to Nickerie, I’m going to rent out my house in the city.","Als ik naar Nickerie verhuis, zal ik mijn huis in de stad verhuren."
